desc,tsne_x,tsne_y,desc_clear,target,target_num,labels_kmeans,labels_affinity_prop
"Публичная площадка, светлое пространство, высокие потолки, большие окна. Место для проведения деловых мероприятий.",27.256802,-11.559134,публичный площадка светлый пространство высокий потолок большой окно место проведение деловой мероприятие,площадка,46,1,2
"Небольшое пространство, включающее основной зал и зону кафе",-11.007596,-31.825247,небольшой пространство включать основной зал зона кафе,пространство,54,50,107
"Банк, высокие потолки, светлое пространство.",29.01332,-14.979761,банк высокий потолок светлый пространство,пространство,54,1,88
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",34.164883,-34.134148,самолет ил 76 внешний вид фюзеляж кабина,самолет,60,6,3
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",34.164276,-34.13407,самолет ил 76 внешний вид фюзеляж кабина,самолет,60,6,3
"Школа Бортпроводников, общий вид площадок, объектов , самолетов. Зеленые насаждения. Test",45.606018,23.635136,школа бортпроводник общий вид площадка объект самолет зеленый насаждение test,школа,75,1,14
"Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-2.7880712,68.80663,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
"Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-0.34176,84.922325,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
Ангар для стоянки бизнес-джетов.,12.446129,56.10892,ангар стоянка бизнес джет,ангар,2,65,17
Ангар для самолетов и вертолетов.,40.395576,24.821234,ангар самолет вертолет,ангар,2,26,18
"Салон cамолета, кабина.",-30.636482,-29.653948,салон самолет кабина,салон,59,61,88
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",34.164524,-34.13381,самолет ил 76 внешний вид фюзеляж кабина,самолет,60,6,3
Темное пространство .,27.927454,-27.611105,темный пространство,пространство,54,98,12
Одноэтажный автосервис с синими стенами.,25.404364,0.5318829,одноэтажный автосервис синий стена,автосервис,1,33,6
"Большое светлое пространство в современной стилистике, большая площадь остекления, открытые элементы конструкций, современный хай-тек стиль дизайна интерьера, белый пол, глянцевый пол.",22.731567,-9.228173,большой светлый пространство современный стилистика большой площадь остекление открытый элемент конструкция современный хай течь стиль дизайн интерьер белый пол глянцевый пол,пространство,54,77,92
Большой двухуровневый автосалон.,14.444437,-7.9021044,большой двухуровневый автосалон,none,0,1,4
Автомойка с большими окнами .,33.22977,-5.9509096,автомойка большой окно,none,0,81,5
Небольшой светлый холл на первом этаже с панорамными окнами,17.806578,-9.3683405,небольшой светлый холл первый этаж панорамный окно,холл,73,1,2
Зал с белыми стенами и небольшой сценой,-8.356156,-21.694809,зал белый стена небольшой сцена,зал,20,32,114
Офис + коворкинг с цветными стенами (5 комнат).,24.968616,1.288214,офис коворкинг цветной стена 5 комната,офис,42,93,6
Офис-коворкинг в черно-белых тонах.,23.742785,16.077293,офис коворкинг черно-белый тон,офис,42,69,24
"Коворкинг с кирпичной отделкой , небольшим кафе и кухней.",3.6831365,19.88574,коворкинг кирпичный отделка небольшой кафе кухня,кафе,25,92,116
"Концертный зал , танцевальный зал , подземный паркинг и офис.",-2.221881,-23.173338,концертный зал танцевальный зал подземный паркинг офис,зал,20,50,56
Переговоры в разных стилях.,10.473708,2.7551527,переговоры разный стиль,none,0,93,6
"Переговорная с современным интерьером в светлых тонах с большими окнами и винтовой лестницей,  26 посадочных мест.",37.58589,1.3521338,переговорный современный интерьер светлый тон большой окно винтовой лестница 26 посадочный место,интерьер,23,15,109
Белый дом в центре Москвы со своей парковкой.,11.91593,7.0811553,белый дом центр москва свой парковка,дом,18,29,101
Территория жилого комплекса с прогулочной аллеей и велодорожками.,-9.698419,7.1522584,территория жилой комплекс прогулочный аллея велодорожка,комплекс,32,96,90
"Высотный жилой комплекс в Москве, состоящий из шести корпусов. Собственный яхт-клуб.",-8.092544,12.44806,высотный жилой комплекс москва состоять шесть корпус собственный яхт-клуб,комплекс,32,96,81
Территория среди объектов современного стиля.,25.588644,-3.3592281,территория среди объект современный стиль,none,0,81,5
"Комплекс представляет собой единый архитектурный ансамбль, выполненный в стиле хай-тек, с панорамным остеклением фасадов. Он состоит из трёх монолитных башен переменной этажности (3-14 этажей), которые соединяются на уровне седьмого этажа стилобатом. В этой части комплекса располагаются офисные помещения, объекты внутренней инфраструктуры и торговые площадки.",1.6772498,-3.0598114,"комплекс представлять единый архитектурный ансамбль выполнять стиль хаять течь панорамный остекление фасад состоять монолитный башня переменный этажность 3 14 этаж ),  который соединяться уровень седьмой этаж стилобат часть комплекс располагаться офисный помещение объект внутренний инфраструктура торговый площадка",комплекс,32,77,113
"Здание выполнено в современной архитектурной концепции с использованием передовых инженерных технологий. В бизнес центре большие окна и просторное лобби, занимающее два этажа, а также кабинеты со свободной планировкой.",30.870205,-1.110068,здание выполнять современный архитектурный концепция использование передовой инженерный технология бизнес центр большой окно просторный лобби занимать этаж также кабинет свободный планировка,здание,22,77,106
"Дизайн интерьера бизнес центра исполнен в современном стиле хай-тек. Основной особенностью здания является два последних VIP этажа (13-14) с просторными террасами, отдельными лифтами и свободной планировкой. Среди объектов инфраструктуры бизнес центра  следует отметить: столовую для сотрудников, фитнес клуб с бассейном, парковка со 2 по 5 этаж здания, кафе, маникюрный салон, отделение банка. ",1.3287063,-3.9717603,дизайн интерьер бизнес центр исполнять современный стиль хаять течь основной особенность здание являться последний vip этаж 13 14 просторный терраса отдельный лифт свободный планировка среди объект инфраструктура бизнес центр следовать отмечать столовая сотрудник фитнес клуб бассейн парковка 2 5 этаж здание кафе маникюрный салон отделение банк,интерьер,23,53,100
"Этот комплекс сочетает в себе оборудованные уютные офисные помещения и обширные территории складов с потолками высотой от 3 метров. Для удобства перемещения работают пассажирские лифты, а для разгрузки товара есть грузовой лифт (грузоподъемность до 1 тонны) и пандусы. Все этажи здания подключены к системе центрального отопления, установлена противопожарная сигнализация. На прилегающей территории имеется парковка и временная стоянка для фур и грузовых автомобилей. Офисные помещения смешанной планировки можно удобно оборудовать всем необходимым для ведения дел. На территории комплекса есть столовая, где можно перекусить в обеденный перерыв, и несколько торговых точек.",-7.260569,0.7000957,комплекс сочетать оборудовать уютный офисный помещение обширный территория склад потолок высота 3 метр удобство перемещение работать пассажирский лифт разгрузка товар грузовой лифт грузоподъемность 1 тонна пандус весь этаж здание подключать система центральный отопление устанавливать противопожарный сигнализация прилегать территория иметься парковка временный стоянка фура грузовой автомобиль офисный помещение смешанный планировка удобно оборудовать необходимый ведение дело территория комплекс столовая перекусить обеденный перерыв несколько торговый точка,комплекс,32,49,7
"I would be happy to invite the guests to my cozy, bright 2-room apartment one minute from the metro station. Just 20 minutes to Red Square and the city center by metro.The apartment is for 4 people. There is everything you need for a comfortable staying. Буду рада предложить гостям свою уютную светлую 2-комнатную квартиру в одной минуте от станции метро. Всего 20 минут до Красной площади и центра города на метро.Квартира для 4х человек, 7этаж. Есть все необходимое для комфортного проживания.",-25.245342,1.641229,i would be happy to invite the guests to my cozy bright 2 room apartment one minute from the metro station just 20 minutes to red square and the city center by metro the apartment is for 4 people there is everything you need for a comfortable staying рад  гость свой уютный светлый 2 комнатный квартира минута станция метро 20 минута красный площадь центр город метро квартира 4х человек 7этаж необходимый комфортный проживание,квартира,27,48,8
"БЕСКОНТАКТНЫЕ Заселение и выезд!!! ИДЕАЛЬНО ПОДХОДИТ ДЛЯ УДАЛЁННОЙ РАБОТЫ и спокойного отдыха! Очень уютная светлая студия! Свежий ремонт,великолепный матрас на широкой кровати, благоухающее постельное бельё. В 30 метрах от подъезда- круглосуточный супермаркет со своей пекарней. Отличный район Бизнес-класса Very comfortable bright apartment! Freshly renovated, great mattress on a wide bed. Perfect cleanliness. You will definitely want to come back to us :)",-25.238838,1.6389962,"бесконтактный заселение выезд !!! идеально подходить удаленный работа спокойный отдых очень уютный светлый студия свежий ремонт великолепный матрас широкий кровать благоухать постельный белье 30 метр подъезд круглосуточный супермаркет свой пекарня отличный район бизнес-класс very comfortable bright apartment freshly renovated great mattress on a wide bed perfect cleanliness you will definitely want to come back to us  :)
",студия,63,48,9
"Уютные апартаменты-студия в новом жилом комплексе премиум-класса. В 5-8 минутах пешком станция метро Водный стадион. До Красной площади на метро 19 минут без пересадок! Студия на севере Москвы, в одном из самых чистых и ухоженных районов. Сразу за домом Невский парк, в 400 метрах вход в Парк-усадьбу Михалково. Каскады прудов, красивые аллеи - все будет радовать глаз и сделает Ваш отдых незабываемым! Район отличается прекрасной инфраструктурой. , в 600 метрах огромный ТРЦ Водный.",2.4620903,-7.5825887,уютный апартамент студия новый жилой комплекс премиум класс 5 8 минута пешком станция метро водный стадион красный площадь метро 19 минута пересадка студия север москва самый чистый ухоженный район сразу дом невский парк 400 метр вход парк усадьба михалково каскад пруд красивый аллея радовать глаз сделать ваш отдых незабываемый район отличаться прекрасный инфраструктура 600 метр огромный трц водный,студия,63,48,10
Номер в отеле Измайловский парк оснащен всем необходимым для длительного проживания. В номере есть своя кухня с посудой и ванная комната.,-3.8966174,-2.1635134,номер отель измайловский парк оснащать необходимый длительный проживание номер свой кухня посуда ванный комната,отель,41,3,119
"Лофт для мероприятий . В интерьере присутствуют: граффити, машины, диваны , кресла, камин.",25.456385,23.845814,лофт мероприятие интерьер присутствовать граффити машина диван кресло камин,лофт,36,33,89
Пространство для мероприятий (лофт). С кирпичной отделкой и множеством комнат.,45.864403,-1.4416215,пространство мероприятие лофт кирпичный отделка множество комната,пространство,54,90,86
Двухуровневый лофт-офис с большими окнами.,38.14537,-5.718599,двухуровневый лофт офис большой окно,лофт,36,69,91
Лофт в серых тонах и с большими окнами.,36.697407,-11.135179,лофт серый тон большой окно,лофт,36,75,117
Светлое пространство с большими окнами.,35.10433,-12.2459345,светлый пространство большой окно,пространство,54,75,117
Лофт в стиле минимализм с большими окнами,31.933767,-4.8394585,лофт стиль минимализм большой окно,лофт,36,81,5
Светлое пространство в классическом стиле .,31.99992,-15.925302,светлый пространство классический стиль,пространство,54,2,88
Лофт в черно-белом стиле.,26.371902,5.9692035,лофт черно-белый стиль,лофт,36,81,11
Темное пространство .,26.754044,-27.437073,темный пространство,пространство,54,98,12
Темное пространство .,27.885626,-28.766584,темный пространство,пространство,54,98,12
Темное пространство .,27.089878,-28.847324,темный пространство,пространство,54,98,12
Темное пространство .,27.397045,-28.974974,темный пространство,пространство,54,98,12
Темное пространство .,27.078625,-27.885035,темный пространство,пространство,54,98,12
Темное пространство .,26.92537,-28.213285,темный пространство,пространство,54,98,12
Темное пространство .,26.647642,-28.781208,темный пространство,пространство,54,98,12
Темное пространство .,27.596613,-28.09076,темный пространство,пространство,54,98,12
Темное пространство .,26.42438,-28.386229,темный пространство,пространство,54,98,12
Темное пространство .,27.683262,-28.429382,темный пространство,пространство,54,98,12
Темное пространство .,28.214914,-28.141901,темный пространство,пространство,54,98,12
Темное пространство .,27.532614,-27.484125,темный пространство,пространство,54,98,12
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,42.092957,28.188717,ангар самолет вертолет московский область,ангар,2,26,18
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-3.6924572,70.10198,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",65.028824,-14.233324,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-1.6053597,86.20391,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,25.87685,62.16839,черный бизнес джет москва,бизнес,10,52,20
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,12.365838,57.296085,ангар стоянка бизнес джет москва,ангар,2,65,17
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,36.610733,56.005455,бизнес джет москва цао,бизнес,10,68,13
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,29.793839,42.86767,москва цао,none,0,68,21
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",70.83661,-1.129015,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59,21,22
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,41.24583,27.488255,ангар самолет вертолет московский область,ангар,2,26,18
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-2.9396663,70.7861,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-1.1681813,85.26848,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",64.13419,-15.485019,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,14.19204,56.64474,ангар стоянка бизнес джет москва,ангар,2,65,17
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,38.42286,55.057575,бизнес джет москва цао,бизнес,10,68,13
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,31.612131,43.09449,москва цао,none,0,68,21
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",70.24124,-1.729818,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59,21,22
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,26.288286,62.31537,черный бизнес джет москва,бизнес,10,52,20
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,40.923664,28.91569,ангар самолет вертолет московский область,ангар,2,26,18
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-3.6224449,69.59668,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",0.04692813,86.59303,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,12.337699,58.39032,ангар стоянка бизнес джет москва,ангар,2,65,17
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,38.277187,55.986355,бизнес джет москва цао,бизнес,10,68,13
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,31.9601,45.250698,москва цао,none,0,68,21
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",72.34894,-2.7407813,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59,21,22
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",64.20392,-14.393368,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,26.10583,63.65651,черный бизнес джет москва,бизнес,10,52,20
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,41.127113,28.337177,ангар самолет вертолет московский область,ангар,2,26,18
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-4.151182,68.497696,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-1.1622367,85.8179,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",70.73667,-3.2399561,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59,21,22
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",65.41862,-15.227825,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,26.455635,63.137352,черный бизнес джет москва,бизнес,10,52,20
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,14.780634,58.064384,ангар стоянка бизнес джет москва,ангар,2,65,17
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,36.921593,56.401108,бизнес джет москва цао,бизнес,10,68,13
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,30.027962,43.867683,москва цао,none,0,68,21
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,40.397285,28.539486,ангар самолет вертолет московский область,ангар,2,26,18
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-3.0349395,69.71251,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-0.18962315,85.29837,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,30.64988,42.4205,москва цао,none,0,68,21
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",71.09385,-1.8851453,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59,21,22
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",65.62294,-14.360158,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,26.289867,64.05903,черный бизнес джет москва,бизнес,10,52,20
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,12.213643,57.734108,ангар стоянка бизнес джет москва,ангар,2,65,17
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,37.35946,55.664776,бизнес джет москва цао,бизнес,10,68,13
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,41.517204,28.252808,ангар самолет вертолет московский область,ангар,2,26,18
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-4.125714,69.69337,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",0.5232147,86.15436,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,38.796383,57.015423,бизнес джет москва цао,бизнес,10,68,13
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,29.575584,43.60431,москва цао,none,0,68,21
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",71.899445,-2.1398067,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59,21,22
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",65.6098,-15.58797,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,27.424698,63.99291,черный бизнес джет москва,бизнес,10,52,20
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,13.295825,58.418324,ангар стоянка бизнес джет москва,ангар,2,65,17
Ангар с гримерной комнатой.,11.110383,22.345757,ангар гримерный комната,ангар,2,26,31
"Школа Бортпроводников, общий вид площадок, объектов , самолетов. Зеленые насаждения.",45.61504,23.621458,школа бортпроводник общий вид площадка объект самолет зеленый насаждение,школа,75,1,14
Ангар для стоянки бизнес-джетов.,12.948994,55.857826,ангар стоянка бизнес джет,ангар,2,65,17
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,42.25296,26.913551,ангар самолет вертолет московский область,ангар,2,26,18
